,artist_name,popularity,followers,artist_link,genres,top_track,top_track_album,top_track_popularity,top_track_release_date,top_track_duration_ms,top_track_explicit,top_track_album_link,top_track_link,query_genre
0,BTS,88,67507448,https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX,"['k-pop', 'k-pop boy group', 'pop']",Left and Right (Feat. Jung Kook of BTS),CHARLIE,88.0,2022-10-06,154486.0,False,https://open.spotify.com/album/5Jk4Eg7pxYhDrWJCVVzmMt,https://open.spotify.com/track/5Odq8ohlgIbQKMZivbWkEo,j-pop
1,BLACKPINK,82,43385244,https://open.spotify.com/artist/41MozSoPIsD1dJM0CLPjZF,"['k-pop', 'k-pop girl group', 'pop']",Shut Down,BORN PINK,79.0,2022-09-15,175889.0,False,https://open.spotify.com/album/0kbZ4ZNRs76sSFeGUEErFM,https://open.spotify.com/track/7gRFDGEzF9UkBV233yv2dc,j-pop
2,TWICE,79,18278225,https://open.spotify.com/artist/7n2Ycct7Beij7Dj7meI4X0,"['k-pop', 'k-pop girl group', 'pop']",MOONLIGHT SUNRISE,READY TO BE,75.0,2023-03-10,180320.0,False,https://open.spotify.com/album/7hzP5i7StxYG4StECA0rrJ,https://open.spotify.com/track/5IN9W6eUfk3014My9awagX,j-pop
3,j-hope,70,15407840,https://open.spotify.com/artist/0b1sIQumIAsNbqAoIClSpy,"['k-pop', 'k-rap']",on the street (with J. Cole),on the street (with J. Cole),83.0,2023-03-03,214701.0,True,https://open.spotify.com/album/70xdtgH5XuYTqBNdNbUwGO,https://open.spotify.com/track/5wxYxygyHpbgv0EXZuqb9V,j-pop
4,V,66,14088149,https://open.spotify.com/artist/3JsHnjpbhX4SnySpvpa9DK,"['j-division', 'korean ost']",Christmas Tree,"Our Beloved Summer (Original Television Soundtrack), Pt. 5",84.0,2021-12-24,209946.0,False,https://open.spotify.com/album/4210mSQ3r10AsJMZEYAH5l,https://open.spotify.com/track/186NCtNk1tUYS7c2DxgJ7O,korean
5,Stray Kids,82,11990935,https://open.spotify.com/artist/2dIgFjalVxs4ThymZ67YCE,"['k-pop', 'k-pop boy group', 'pop']",S-Class,5-STAR,89.0,2023-06-02,195688.0,False,https://open.spotify.com/album/3Pel3gWsPxVpZVrciU0Fm6,https://open.spotify.com/track/3gTQwwDNJ42CCLo3Sf4JDd,j-pop
6,SEVENTEEN,78,9731900,https://open.spotify.com/artist/7nqOGRxlXj7N2JYbgNEjYH,"['k-pop', 'k-pop boy group']",Super,SEVENTEEN 10th Mini Album 'FML',87.0,2023-04-24,200386.0,False,https://open.spotify.com/album/1JBzeeCJ3axQMVkqWbKh0I,https://open.spotify.com/track/3AOf6YEpxQ894FmrwI9k96,j-pop
7,EXO,75,9701818,https://open.spotify.com/artist/3cjEqqelV9zb4BYE3qDQ4O,"['k-pop', 'k-pop boy group']",Cream Soda,EXIST – The 7th Album,83.0,2023-07-10,185320.0,False,https://open.spotify.com/album/4qMcBYh4ZlwDeb7vfgZO61,https://open.spotify.com/track/42h7yc9Rda1IOMYLACVgld,j-pop
8,Jung Kook,84,8656152,https://open.spotify.com/artist/6HaGTQPmzraVmaVxvz6EUc,['k-pop'],Seven (feat. Latto) (Explicit Ver.),Seven (feat. Latto),97.0,2023-07-14,184400.0,True,https://open.spotify.com/album/53985D8g3JcGBoULSOYYKX,https://open.spotify.com/track/7x9aauaA9cu6tyfpHnqDLo,j-pop
9,Red Velvet,69,8573957,https://open.spotify.com/artist/1z4g3DjTBBZKhvAroFlhOM,"['k-pop', 'k-pop girl group']",Psycho,‘The ReVe Festival’ Finale,78.0,2019-12-23,210560.0,False,https://open.spotify.com/album/3rVtm00UfbuzWOewdm4iYM,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK,j-pop
10,TOMORROW X TOGETHER,76,8335192,https://open.spotify.com/artist/0ghlgldX5Dd6720Q3qFyQB,"['k-pop', 'k-pop boy group']",Do It Like That,Do It Like That,85.0,2023-07-07,145065.0,False,https://open.spotify.com/album/0Z1ebaoFTQDDzebTh3fD2P,https://open.spotify.com/track/7kaFsQygyiCqRboWCXztxZ,j-pop
11,IU,69,8073920,https://open.spotify.com/artist/3HqSLMAZ3g3d5poNaI7GOU,"['k-pop', 'pop']",People Pt.2 (feat. IU),D-DAY,77.0,2023-04-21,213995.0,False,https://open.spotify.com/album/446ROKmKfpEwkbi2SjELVX,https://open.spotify.com/track/41JPN7pZMTp1sumBOHOzHd,j-pop
12,NCT 127,66,6913985,https://open.spotify.com/artist/7f4ignuCJhLXfZ9giKT7rH,"['k-pop', 'k-pop boy group']",2 Baddies,2 Baddies - The 4th Album,66.0,2022-09-16,230293.0,False,https://open.spotify.com/album/6p80QT3z7kOHpYdnsItQTQ,https://open.spotify.com/track/1WKLxJpDqkQ9x1qEDNutoX,j-pop
13,NCT DREAM,74,6906343,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,"['k-pop', 'k-pop boy group']",Broken Melodies,ISTJ - The 3rd Album,59.0,2023-07-17,226160.0,False,https://open.spotify.com/album/6RJlrKu60DPF6BMXVdotY7,https://open.spotify.com/track/63Czf03uph6EyJDL1z3x3z,j-pop
14,JIN,67,6590144,https://open.spotify.com/artist/5vV3bFXnN6D6N3Nj4xRvaV,['k-pop'],The Astronaut,The Astronaut,86.0,2022-10-28,282463.0,False,https://open.spotify.com/album/6nT2VfGN07ar1vdZyJY6ox,https://open.spotify.com/track/0h7QMc9ZRzA9QJrbEHytn2,j-pop
15,(G)I-DLE,76,6534936,https://open.spotify.com/artist/2AfmfGFbe0A0WsTYm0SDTx,"['k-pop', 'k-pop girl group']",Queencard,I feel,90.0,2023-05-15,161240.0,False,https://open.spotify.com/album/3PQZnr5gf699uYEaGH93uG,https://open.spotify.com/track/4uOBL4DDWWVx4RhYKlPbPC,j-pop
16,Jimin,83,6227865,https://open.spotify.com/artist/1oSPZhvZMIrWW5I41kPkkY,['k-pop'],Like Crazy,FACE,96.0,2023-03-24,212241.0,False,https://open.spotify.com/album/4xc3Lc9yASZgEJGH7acWMB,https://open.spotify.com/track/3Ua0m0YmEjrMi9XErKcNiR,j-pop
